Date;Car sales
2015-06-01;67
2015-07-01;68
2015-08-01;66
2015-09-01;86
2015-10-01;84
2015-11-01;42
2015-12-01;26
2016-01-01;28
2016-02-01;37
2016-03-01;83
2016-04-01;51
2016-05-01;71
2016-06-01;74
2016-07-01;75
2016-08-01;116
2016-09-01;98
2016-10-01;110
2016-11-01;53
2016-12-01;119
2017-01-01;83
2017-02-01;52
2017-03-01;46
2017-04-01;81
2017-05-01;90
2017-06-01;55
2017-07-01;79
2017-08-01;126
2017-09-01;120
2017-10-01;143
2017-11-01;39
2017-12-01;62
2018-01-01;55
2018-02-01;33
2018-03-01;59
2018-04-01;121
2018-05-01;55
2018-06-01;74
2018-07-01;76
2018-08-01;138
2018-09-01;137
2018-10-01;184
2018-11-01;49
2018-12-01;54
2019-01-01;54
2019-02-01;39
2019-03-01;86
2019-04-01;89
2019-05-01;109
2019-06-01;35
